path_id,entry_point_id,target_asset_id,hop_sequence,hop_count,path_probability,normalized_score,priority_label,generated_at,explanations,traverses
AP-0066,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA19-ABC8,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA19-ABC8,1,0.343,1,High,2026-05-20T05:30:42.899Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA19-ABC8
AP-0067,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA20-D69E,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA20-D69E,1,0.343,1,High,2026-05-20T05:30:42.899Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA20-D69E
AP-0068,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA21-FA93,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA21-FA93,1,0.343,1,High,2026-05-20T05:30:42.9Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA21-FA93
AP-0069,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA22-A9EB,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA22-A9EB,1,0.343,1,High,2026-05-20T05:30:42.9Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA22-A9EB
AP-0070,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA23-906B,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA23-906B,1,0.343,1,High,2026-05-20T05:30:42.9Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA23-906B
AP-0071,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA24-5F96,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA24-5F96,1,0.343,1,High,2026-05-20T05:30:42.901Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA24-5F96
AP-0072,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA25-F605,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA25-F605,1,0.343,1,High,2026-05-20T05:30:42.902Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA25-F605
AP-0073,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA26-3233,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA26-3233,1,0.343,1,High,2026-05-20T05:30:42.904Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA26-3233
AP-0074,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA27-ECA1,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA27-ECA1,1,0.343,1,High,2026-05-20T05:30:42.904Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA27-ECA1
AP-0075,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA28-6B3D,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA28-6B3D,1,0.343,1,High,2026-05-20T05:30:42.905Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA28-6B3D
AP-0076,TP-EXT-PL-F51124-AUTO-ING-01,SYS-DA29-9521,TP-EXT-PL-F51124-AUTO-ING-01>EXT-PL-F51124>SYS-DA29-9521,1,0.343,1,High,2026-05-20T05:30:42.906Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA29-9521
